"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64308100000019","Nodes","19",21.000000,53.879292,"Default Known Flow Node","Known Flow",295967.971691,672115.335098,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000056","Nodes","56",21.000000,52.745640,"DDS demands","Known Flow",296011.596703,672098.585094,,0.000000,,-3.579999,,-3.201299,-3.579999,,"",,"D1 PROFILE",
"64308100000011","Nodes","11",21.000000,70.603024,"DDS demands","Known Flow",297088.596996,672183.585117,,0.000000,,-5.339999,,-4.775123,-5.339999,,"",,"D1 PROFILE",
"64308100000010","Nodes","10",21.000000,71.195316,"Default Known Flow Node","Known Flow",297119.333557,672165.957831,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000001","Nodes","1, TORPHICHEN STRS, Tel 01506633308, Site ID 5828",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",297090.846997,671902.085040,,999998.967025,,,,301.109981,336.729999,,"",,,
"64308100000014","Nodes","14",21.000000,66.647995,"DDS demands","Known Flow",296688.596887,672241.335133,,0.000000,,-10.239999,,-9.156791,-10.239999,,"",,"D1 PROFILE",
"64308100000066","Nodes","66",21.000000,66.420410,"Default Known Flow Node","Known Flow",296649.866940,672237.610512,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000015","Nodes","15",21.000000,66.490170,"DDS demands","Known Flow",296621.971869,672224.585128,,0.000000,,-0.699999,,-0.625952,-0.699999,,"",,"D1 PROFILE",
"64308100000043","Nodes","43",21.000000,56.796028,"DDS demands","Known Flow",296565.721854,672571.960222,,0.000000,,-3.170000,,-2.834670,-3.170000,,"",,"D1 PROFILE",
"64308100000065","Nodes","65",21.000000,58.567276,"Default Known Flow Node","Known Flow",296605.432549,672610.321739,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000037","Nodes","37",21.000000,58.908085,"DDS demands","Known Flow",296610.471866,672620.085236,,0.000000,,-1.259999,,-1.126714,-1.259999,,"",,"D1 PROFILE",
"64308100000054","Nodes","54",21.000000,54.444695,"DDS demands","Known Flow",296187.471751,672129.085102,,0.000000,,-0.889999,,-0.795853,-0.889999,,"",,"D1 PROFILE",
"64308100000055","Nodes","55",21.000000,54.379808,"DDS demands","Known Flow",296178.221748,672115.960098,,0.000000,,-0.750000,,-0.670663,-0.750000,,"",,"D1 PROFILE",
"64308100000053","Nodes","53",21.000000,54.371067,"Default Known Flow Node","Known Flow",296210.846757,672177.085115,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000018","Nodes","18",21.000000,54.767910,"DDS demands","Known Flow",296276.096775,672192.835119,,0.000000,,-0.880000,,-0.786911,-0.880000,,"",,"D1 PROFILE",
"64308100000026","Nodes","26",21.000000,54.404531,"Default Known Flow Node","Known Flow",296269.971773,672176.835115,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000028","Nodes","28",21.000000,54.565726,"DDS demands","Known Flow",296280.221776,672128.335102,,0.000000,,-1.500000,,-1.341326,-1.500000,,"",,"D1 PROFILE",
"64308100000027","Nodes","27",21.000000,53.509219,"DDS demands","Known Flow",296209.346757,672089.585091,,0.000000,,-12.130000,,-10.846863,-12.130000,,"",,"D1 PROFILE",
"64308100000025","Nodes","25",21.000000,56.188264,"DDS demands","Known Flow",296370.096801,672206.460123,,0.000000,,-1.720000,,-1.538054,-1.720000,,"",,"D1 PROFILE",
"64308100000024","Nodes","24",21.000000,56.443676,"Default Known Flow Node","Known Flow",296396.596808,672184.210117,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000017","Nodes","17",21.000000,56.196685,"Default Known Flow Node","Known Flow",296336.346791,672216.835126,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000013","Nodes","13",21.000000,69.089526,"DDS demands","Known Flow",296918.471950,672186.710118,,0.000000,,-5.680000,,-5.079157,-5.680000,,"",,"D1 PROFILE",
"64308100000020","Nodes","20",21.000000,68.686432,"DDS demands","Known Flow",296915.221949,672152.085108,,0.000000,,-10.989999,,-9.827454,-10.989999,,"",,"D1 PROFILE",
"64308100000022","Nodes","22",21.000000,68.587925,"DDS demands","Known Flow",296873.846938,672164.835112,,0.000000,,-4.439999,,-3.970327,-4.439999,,"",,"D1 PROFILE",
"64308100000033","Nodes","33",21.000000,64.406999,"DDS demands","Known Flow",296746.721903,672379.960170,,0.000000,,-18.340000,,-16.399957,-18.340000,,"",,"D1 PROFILE",
"64308100000051","Nodes","51",21.000000,64.532996,"Default Known Flow Node","Known Flow",296790.471915,672346.460161,,0.000000,,,,0.000000,0.000000,,"",,,
"64308100000032","Nodes","32",21.000000,65.584123,"DDS demands","Known Flow",296746.346903,672340.585160,,0.000000,,-8.800000,,-7.869117,-8.800000,,"",,"D1 PROFILE",
"64308100000042","Nodes","42",21.000000,62.507269,"DDS demands","Known Flow",296816.971922,672479.585197,,0.000000,,-5.530000,,-4.945025,-5.530000,,"",,"D1 PROFILE",
"64308100000050","Nodes","50",21.000000,62.505711,"DDS demands","Known Flow",296781.971913,672479.085197,,0.000000,,-0.799999,,-0.715374,-0.799999,,"",,"D1 PROFILE",
"64308100000052","Nodes","52",21.000000,63.112621,"DDS demands","Known Flow",296776.096911,672430.585184,,0.000000,,-0.950000,,-0.849507,-0.950000,,"",,"D1 PROFILE",
"64308100000034","Nodes","34",21.000000,63.630163,"Default Known Flow Node","Known Flow",296736.721900,672406.835178,,0.000000,,,,0.000000,0.000000,,"",,,
"64308110000040","Nodes","-40",21.000000,62.890735,"Default Known Flow Node","Known Flow",296723.471897,672444.960188,,0.000000,,,,0.000000,0.000000,,"",,,
