"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"96111005910436","Nodes","5910436","21.000000","32.018095","DDS demands","Known Flow","583419.570000","154655.620000","","0.000000","","","","-8.319999","","-7.439892","-8.319999","","","","","","D1 PROFILE",""
"96111005910435","Nodes","-5910435","21.000000","32.266987","Default Known Flow Node","Known Flow","583323.823721","154660.462387","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910317","Nodes","-5910317","21.000000","32.266987","Default Known Flow Node","Known Flow","583323.790714","154648.579760","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111000005054","Nodes","Logger 5054","21.000000","22.109244","Log Low Point","Known Flow","584359.007500","155221.870000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910186","Nodes","5910186","21.000000","30.975098","DDS demands","Known Flow","583640.320000","154725.495000","","0.000000","","","","-12.300000","","-10.998880","-12.300000","","","","","","D1 PROFILE",""
"96111000005052","Nodes","Logger 5052","21.000000","31.192498","Val Log Post","Known Flow","583572.070000","154681.620000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910450","Nodes","-5910450","21.000000","32.019951","Default Known Flow Node","Known Flow","583430.468399","154622.005364","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910406","Nodes","5910406","21.000000","25.954179","Default Known Flow Node","Known Flow","584020.070000","154844.870000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910198","Nodes","5910198","21.000000","24.902090","DDS demands","Known Flow","584102.945000","154712.276250","","0.000000","","","","-7.730000","","-6.912304","-7.730000","","","","","","D1 PROFILE",""
"96111005910194","Nodes","5910194","21.000000","24.713696","DDS demands","Known Flow","584153.070000","154675.745000","","0.000000","","","","-8.770000","","-7.842291","-8.770000","","","","","","D1 PROFILE",""
"96111005910184","Nodes","5910184","21.000000","32.423525","DDS demands","Known Flow","583266.445000","154660.963750","","0.000000","","-6.000000","","-4.090000","","-9.022658","-10.090000","","","","C2 PROFILE","","D1 PROFILE",""
"96111005910434","Nodes","5910434","21.000000","32.516618","DDS demands","Known Flow","583221.695000","154641.120000","","0.000000","","","","-14.100000","","-12.608473","-14.100000","","","","","","D1 PROFILE",""
"96111005910413","Nodes","-510413","21.000000","32.266987","Default Known Flow Node","Known Flow","583325.431035","154663.836053","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910199","Nodes","5910199","21.000000","23.509375","DDS demands","Known Flow","584253.632500","155039.463750","","0.000000","-6.000000","","","-6.900000","","-11.535411","-12.900000","","","C1 PROFILE","","","D1 PROFILE",""
"96111005910188","Nodes","5910188","21.000000","26.082146","DDS demands","Known Flow","583981.570000","154877.620000","","0.000000","","0.000000","","0.000000","","0.000000","0.000000","","","","C2 PROFILE","","D1 PROFILE",""
"96111005910319","Nodes","5910319","21.000000","22.075816","DDS demands","Known Flow","584382.820000","155260.620000","","0.000000","","","","-1.539999","","-1.377095","-1.539999","","","","","","D1 PROFILE",""
"96111005910200","Nodes","5910200","21.000000","22.102003","Default Known Flow Node","Known Flow","584376.445000","155253.166875","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910440","Nodes","-5910440","21.000000","32.086629","Default Known Flow Node","Known Flow","583393.675140","154660.712714","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910439","Nodes","5910439","21.000000","31.878993","Default Known Flow Node","Known Flow","583453.570000","154643.745000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910427","Nodes","5910427","21.000000","31.923112","Default Known Flow Node","Known Flow","583133.070000","154672.745000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910426","Nodes","5910426","21.000000","31.611186","DDS demands","Known Flow","583101.070000","154675.120000","","0.000000","","","","-10.819999","","-9.675437","-10.819999","","","","","","D1 PROFILE",""
"96111005910425","Nodes","5910425","21.000000","31.855474","DDS demands","Known Flow","583098.820000","154638.495000","","0.000000","","","","-3.329999","","-2.977745","-3.329999","","","","","","D1 PROFILE",""
"96111005910316","Nodes","5910316","21.000000","32.868868","DDS demands","Known Flow","583141.820000","154547.245000","","0.000000","","","","-4.269999","","-3.818310","-4.269999","","","","","","D1 PROFILE",""
"96111005910395","Nodes","5910395, ""EYTHORNE STREET GOV.""","21.000000","32.999999","Default Known Pressure Node","Known Pressure","583143.820000","154539.495000","","99999.002583","","","","","","309.211580","345.790008","","","","","","",""
"96111005910428","Nodes","5910428","21.000000","32.481799","DDS demands","Known Flow","583169.070000","154668.120000","","0.000000","","","","-7.900000","","-7.064321","-7.900000","","","","","","D1 PROFILE",""
"96111005910432","Nodes","-5910432","21.000000","31.591566","Default Known Flow Node","Known Flow","583504.828024","154607.118542","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910429","Nodes","-5910429","21.000000","32.086629","Default Known Flow Node","Known Flow","583399.470493","154699.250414","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910431","Nodes","5910431","21.000000","32.636542","Default Known Flow Node","Known Flow","583187.070000","154608.245000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910430","Nodes","5910430","21.000000","32.636542","Default Known Flow Node","Known Flow","583185.195000","154609.495000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910433","Nodes","5910433","21.000000","32.269019","DDS demands","Known Flow","583208.445000","154752.745000","","0.000000","","","","-10.130000","","-9.058427","-10.130000","","","","","","D1 PROFILE",""
"96111005910185","Nodes","5910185","21.000000","32.019951","DDS demands","Known Flow","583430.195148","154652.659629","","0.000000","","","-5.090000","-40.109998","","-40.418649","-45.199997","","","","","C4 PROFILE","D1 PROFILE",""
"96111005910442","Nodes","5910442","21.000000","31.752467","Default Known Flow Node","Known Flow","583472.695000","154631.995000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910441","Nodes","5910441","21.000000","31.805843","Default Known Flow Node","Known Flow","583464.953045","154637.471678","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910192","Nodes","5910192","21.000000","27.689573","Default Known Flow Node","Known Flow","583885.570000","154878.120000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96111005910443","Nodes","5910443","21.000000","31.582077","DDS demands","Known Flow","583500.681638","154621.293104","","0.000000","","","-6.000000","-9.009999","","-13.422211","-15.009999","","","","","C4 PROFILE","D1 PROFILE",""
"96111005910447","Nodes","5910447","21.000000","31.469737","DDS demands","Known Flow","583525.320000","154570.870000","","0.000000","","","","-4.579999","","-4.095518","-4.579999","","","","","","D1 PROFILE",""
