"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96121309704186","Nodes","9704186","21.000000","32.909970","DDS demands","Known Flow","588735.500000","113536.250000","","0.000000","","","","-1.531999","","-1.369941","-1.531999","","","","","","D1 PROFILE",""
"96121300005159","Nodes","Logger 5159","21.000000","32.909970","Val Log Post","Known Flow","588731.000000","113534.187500","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"961213-1168004","Nodes","-1168004","21.000000","30.863673","Default Known Flow Node","Known Flow","586419.500000","113803.132812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704095","Nodes","9704095","21.000000","30.310953","DDS demands","Known Flow","586354.562500","113923.468750","","0.000000","","-2.259999","","-15.925999","","-16.262246","-18.185998","","","","C3 PROFILE","","D1 PROFILE",""
"96121309704175","Nodes","9704175","21.000000","30.267514","Default Known Flow Node","Known Flow","586379.750000","113983.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704081","Nodes","9704081","21.000000","34.662942","DDS demands","Known Flow","588528.750000","113217.882812","","0.000000","","","","-22.841000","","-20.424832","-22.841000","","","","","","D1 PROFILE",""
"96121309704200","Nodes","P13131182, PETT LEVEL ROAD CSEP, 8.31 SCMH","22.999998","33.979677","CSEP Unmatched","Known Flow","588633.937500","113290.382812","","0.000000","","","","","-8.310000","-7.430950","-8.310000","","","","","","","DC PROFILE"
"961213-1553184","Nodes","-1553184","21.000000","33.621039","Default Known Flow Node","Known Flow","588714.500000","113364.382812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704069","Nodes","9704069","21.000000","33.489569","DDS demands","Known Flow","587343.625000","112396.382812","","0.000000","","","","-23.274998","","-20.812919","-23.274998","","","","","","D1 PROFILE",""
"961213-1000","Nodes","-1000","21.000000","33.436590","Default Known Flow Node","Known Flow","587352.312500","112375.632812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"961213-1001","Nodes","-1001","21.000000","33.436590","Default Known Flow Node","Known Flow","587352.500000","112375.632812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"961213-119546","Nodes","-119546","21.000000","33.554541","Default Known Flow Node","Known Flow","587354.000000","112371.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704213","Nodes","9704213","21.000000","34.260379","Default Known Flow Node","Known Flow","586338.500000","113621.632812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"961213-429859","Nodes","-429859","21.000000","34.267353","Default Known Flow Node","Known Flow","586339.375000","113622.132812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"961213-119251","Nodes","-119251","21.000000","32.867033","Default Known Flow Node","Known Flow","588545.500000","113504.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704181","Nodes","9704181","21.000000","30.405106","Default Known Flow Node","Known Flow","587734.625000","114038.382812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121300005158","Nodes","Logger 5158","21.000000","30.405106","Val Log Cath","Known Flow","587739.625000","114042.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704182","Nodes","9704182","21.000000","30.405106","Default Known Flow Node","Known Flow","587763.750000","114059.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121300005157","Nodes","Logger 5157","21.000000","34.212689","Val Log Cath","Known Flow","586372.250000","113635.453125","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704094","Nodes","9704094","21.000000","31.192769","DDS demands","Known Flow","586490.625000","113675.500000","","0.000000","","","","-29.161000","","-26.076288","-29.161000","","","","","","D1 PROFILE",""
"96121309704040","Nodes","9704040","21.000000","34.740836","DDS demands","Known Flow","585927.125000","111951.750000","","0.000000","","","","-18.396000","","-16.450032","-18.396000","","","","","","D1 PROFILE",""
"96121300005156","Nodes","Logger 5156","21.000000","34.152697","Val Log Post","Known Flow","585938.000000","111936.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704041","Nodes","9704041","21.000000","29.874680","DDS demands","Known Flow","586014.500000","111835.882812","","0.000000","","","","-34.775999","","-31.097321","-34.775999","","","","","","D1 PROFILE",""
"96121309704047","Nodes","9704047","21.000000","27.648280","DDS demands","Known Flow","587500.875000","111614.500000","","0.000000","","","","-23.425999","","-20.947947","-23.425999","","","","","","D1 PROFILE",""
"961213-965155","Nodes","-965155","21.000000","27.705771","Default Known Flow Node","Known Flow","587499.187500","111620.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704240","Nodes","9704240","21.000000","27.696699","Default Known Flow Node","Known Flow","587495.875000","111634.132812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704063","Nodes","9704063","21.000000","32.076766","DDS demands","Known Flow","587257.875000","112040.250000","","0.000000","","","","-10.704999","","-9.572602","-10.704999","","","","","","D1 PROFILE",""
"96121309704056","Nodes","9704056","21.000000","32.631555","DDS demands","Known Flow","587370.875000","111964.203125","","0.000000","","","","-10.634000","","-9.509113","-10.634000","","","","","","D1 PROFILE",""
"961213-123409","Nodes","-123409","21.000000","33.952617","Default Known Flow Node","Known Flow","585486.500000","113222.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704015","Nodes","9704015","21.000000","33.952741","DDS demands","Known Flow","585486.875000","113222.398437","","0.000000","","","","-4.727999","","-4.227862","-4.727999","","","","","","D1 PROFILE",""
"96121309704013","Nodes","9704013","21.000000","34.321788","DDS demands","Known Flow","585108.500000","113152.898437","","0.000000","","","","-18.667999","","-16.693259","-18.667999","","","","","","D1 PROFILE",""
"96121309704014","Nodes","9704014","21.000000","34.328841","DDS demands","Known Flow","585295.687500","113204.898437","","0.000000","","","","-9.173000","","-8.202661","-9.173000","","","","","","D1 PROFILE",""
"96121309704099","Nodes","9704099","21.000000","28.943166","DDS demands","Known Flow","587332.000000","113954.101562","","0.000000","","","","-31.025999","","-27.744003","-31.025999","","","","","","D1 PROFILE",""
"96121309704098","Nodes","9704098","21.000000","28.852644","DDS demands","Known Flow","587093.187500","113962.000000","","0.000000","","","","-25.613000","","-22.903602","-25.613000","","","","","","D1 PROFILE",""
"96121309704097","Nodes","9704097","21.000000","28.746906","DDS demands","Known Flow","586849.000000","113892.882812","","0.000000","","-1.200000","-12.619999","-8.597999","","-20.046577","-22.417998","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE",""
"96121309704101","Nodes","9704101","21.000000","30.453418","Default Known Flow Node","Known Flow","587706.250000","114017.750000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704100","Nodes","9704100","21.000000","32.135703","DDS demands","Known Flow","587941.812500","113881.500000","","0.000000","","","","-22.579000","","-20.190545","-22.579000","","","","","","D1 PROFILE",""
"96121309704076","Nodes","9704076","21.000000","32.761135","DDS demands","Known Flow","588008.375000","113877.250000","","0.000000","","","","-3.154999","","-2.821257","-3.154999","","","","","","D1 PROFILE",""
"961213-125941","Nodes","-125941","21.000000","31.170499","Default Known Flow Node","Known Flow","586492.000000","113676.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96121309704096","Nodes","9704096, CSEP Pett Road p07112713/01","22.999998","30.382945","CSEP Unmatched","Known Flow","586534.625000","113695.000000","","0.000000","","","","-33.465999","-9.399999","-38.331542","-42.865997","","","","","","D1 PROFILE",""
"96121309704012","Nodes","9704012","21.000000","35.309378","DDS demands","Known Flow","584793.625000","113063.250000","","0.000000","","","-13.739999","-24.766999","","-34.433650","-38.507002","","","","","C4 PROFILE","D1 PROFILE",""
