"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96122905709024","Nodes","5709024","21.000000","38.726511","DDS demands","Known Flow","584043.980000","138347.465000","","0.000000","","-3.079999","","","-2.754191","-3.079999","","","","D1 PROFILE","",""
"96122905709023","Nodes","5709023","21.000000","38.661982","DDS demands","Known Flow","584275.230000","138400.465000","","0.000000","","-12.489999","","","-11.168782","-12.489999","","","","D1 PROFILE","",""
"96122905709020","Nodes","5709020","21.000000","39.251257","DDS demands","Known Flow","584680.105000","138348.215000","","0.000000","","-10.869999","","","-9.720147","-10.869999","","","","D1 PROFILE","",""
"96122900004054","Nodes","Logger 4054","21.000000","38.917270","Val Log Cath","Known Flow","584682.105000","138371.590000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96122905709026","Nodes","5709026","21.000000","37.960696","DDS demands","Known Flow","584681.855000","138428.465000","","0.000000","","-5.010000","","","-4.480031","-5.010000","","","","D1 PROFILE","",""
"96122905709018","Nodes","5709018","21.000000","40.294901","DDS demands","Known Flow","584864.230000","138501.840000","","0.000000","","-5.689999","","","-5.088099","-5.689999","","","","D1 PROFILE","",""
"96122900004053","Nodes","Logger 4053","21.000000","40.705359","Val Log Cath","Known Flow","584859.917500","138610.090000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96122905709017","Nodes","5709017","21.000000","40.750158","DDS demands","Known Flow","584860.605000","138619.090000","","0.000000","","-7.289999","","","-6.518848","-7.289999","","","","D1 PROFILE","",""
"96122905709014","Nodes","5709014","21.000000","44.274621","DDS demands","Known Flow","585155.605000","138493.090000","","0.000000","","0.000000","","","0.000000","0.000000","","","","D1 PROFILE","",""
"96122900004052","Nodes","Logger 4052","21.000000","44.352169","Val Log Cath","Known Flow","585164.605000","138473.090000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96122905709013","Nodes","5709013","21.000000","44.368283","DDS demands","Known Flow","585164.105000","138466.965000","","0.000000","0.000000","-6.849999","","","-6.125392","-6.849999","","","C4 PROFILE","D1 PROFILE","",""
"96122905709012","Nodes","5709012","21.000000","44.700691","DDS demands","Known Flow","585224.855000","138426.965000","","0.000000","","-15.789999","","","-14.119700","-15.789999","","","","D1 PROFILE","",""
"96122905709011","Nodes","P11126961, 83 CHEESELANDS, -6.83SCMH","22.999998","25.309390","CSEP DDS Matched","Known Flow","584742.383601","138566.992727","","0.000000","","","-6.829999","","-6.107508","-6.829999","","","","","DC PROFILE",""
"96122905709001","Nodes","THE WEAVERS DG, Site ID: 4051","21.000000","45.000001","Default Known Pressure Node","Known Pressure","585194.855000","138365.090000","","8229.999859","","","","","377.118478","421.730004","","","","","",""
"96122905709025","Nodes","5709025","21.000000","38.875849","DDS demands","Known Flow","584427.230000","138373.715000","","0.000000","","-23.219998","","","-20.763737","-23.219998","","","","D1 PROFILE","",""
"96122905709076","Nodes","-416813","21.000000","39.523328","DDS demands","Known Flow","584952.730000","138487.840000","","0.000000","","-2.549999","","","-2.280255","-2.549999","","","","D1 PROFILE","",""
"96122905709044","Nodes","5709044","21.000000","39.535337","DDS demands","Known Flow","584949.480000","138462.590000","","0.000000","","0.000000","","","0.000000","0.000000","","","","D1 PROFILE","",""
"96122905709077","Nodes","-416814","21.000000","39.529176","DDS demands","Known Flow","584967.230000","138467.965000","","0.000000","","-2.119999","","","-1.895741","-2.119999","","","","D1 PROFILE","",""
