"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60201300000313","Nodes","313 C1 -3.140 (CHURCH HALL)","21.000000","30.954082","DDS demands","Known Flow","316557.602294","692451.215632","","0.000000","-3.140000","","","","","","","","","-2.807844","-3.140000","","","C1 PROFILE","","","","","","","",""
"60201355600102","Nodes","55600102","21.000000","33.593850","Default Known Flow Node","Known Flow","315742.352072","691189.715289","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600370","Nodes","55600370","21.000000","33.629260","Default Known Flow Node","Known Flow","315743.892518","691190.746942","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600378","Nodes","55600378","21.000000","34.141484","Default Known Flow Node","Known Flow","315712.958302","691233.579843","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000307","Nodes","307","21.000000","28.456415","DDS demands","Known Flow","316400.852251","692411.840621","","0.000000","","","","","","-17.020000","","","","-15.219588","-17.020000","","","","","","","","D1 PROFILE","","",""
"60201355600011","Nodes","55600011","21.000000","28.318941","Default Known Flow Node","Known Flow","316486.602275","692466.465636","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000450","Nodes","450","21.000000","32.898050","DDS demands","Known Flow","315807.227090","691232.840300","","0.000000","","","","","","-5.219999","","","","-4.667817","-5.219999","","","","","","","","D1 PROFILE","","",""
"60201300001161","Nodes","1161","21.000000","31.565372","DDS demands","Known Flow","315836.977098","691306.590320","","0.000000","","","","","","-16.760000","","","","-14.987092","-16.760000","","","","","","","","D1 PROFILE","","",""
"60201300000104","Nodes","104","21.000000","25.717434","Default Known Flow Node","Known Flow","315216.301275","688814.120054","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000324","Nodes","324","21.000000","33.772075","DDS demands","Known Flow","316297.477223","692057.715525","","0.000000","","","","-2.329999","","-15.670000","","","","-16.095922","-18.000000","","","","","","C4 PROFILE","","D1 PROFILE","","",""
"60201355600123","Nodes","55600123","21.000000","32.820872","DDS demands","Known Flow","316327.352231","691960.340498","","0.000000","","","","","","-4.619999","","","","-4.131286","-4.619999","","","","","","","","D1 PROFILE","","",""
